id	State       Bundle
0	ACTIVE      org.eclipse.osgi_3.10.2.v20150203-1939
1	RESOLVED    javax.servlet_3.1.0.v20140303-1611
2	RESOLVED    javax.xml_1.3.4.v201005080400
3	RESOLVED    org.apache.commons.codec_1.6.0.v201305230611
4	RESOLVED    org.apache.commons.logging_1.1.1.v201101211721
	            Fragments=26
5	ACTIVE      org.apache.felix.gogo.command_0.10.0.v201209301215
6	ACTIVE      org.apache.felix.gogo.runtime_0.10.0.v201209301036
7	ACTIVE      org.apache.felix.gogo.shell_0.10.0.v201212101605
8	RESOLVED    org.apache.httpcomponents.httpclient_4.3.6.v201411290715
9	RESOLVED    org.apache.httpcomponents.httpcore_4.3.3.v201411290715
10	ACTIVE      org.eclipse.equinox.console_1.1.0.v20140131-1639
11	ACTIVE      org.eclipse.equinox.http.jetty_3.0.200.v20131021-1843
12	ACTIVE      org.eclipse.equinox.http.servlet_1.1.500.v20140318-1755
13	RESOLVED    org.eclipse.equinox.launcher_1.3.0.v20140415-2008
14	RESOLVED    org.eclipse.jetty.continuation_8.1.16.v20140903
15	RESOLVED    org.eclipse.jetty.http_8.1.16.v20140903
16	RESOLVED    org.eclipse.jetty.io_8.1.16.v20140903
17	RESOLVED    org.eclipse.jetty.security_8.1.16.v20140903
18	RESOLVED    org.eclipse.jetty.server_8.1.16.v20140903
19	RESOLVED    org.eclipse.jetty.servlet_8.1.16.v20140903
20	RESOLVED    org.eclipse.jetty.util_8.1.16.v20140903
21	ACTIVE      org.eclipse.om2m.binding.coap_1.0.0.20170830-1654
22	ACTIVE      org.eclipse.om2m.binding.http_1.0.0.20170830-1654
23	STARTING    org.eclipse.om2m.binding.mqtt_1.0.0.20170830-1654
24	RESOLVED    org.eclipse.om2m.binding.service_1.0.0.20170830-1654
25	RESOLVED    org.eclipse.om2m.commons_1.0.0.20170830-1654
26	RESOLVED    org.eclipse.om2m.commons.logging_1.0.0.20170830-1654
	            Master=4
27	ACTIVE      org.eclipse.om2m.core_1.0.0.20170830-1654
28	RESOLVED    org.eclipse.om2m.core.service_1.0.0.20170830-1654
29	ACTIVE      org.eclipse.om2m.datamapping.jaxb_1.0.0.20170830-1654
30	RESOLVED    org.eclipse.om2m.datamapping.service_1.0.0.20170830-1654
31	RESOLVED    org.eclipse.om2m.interworking.service_1.0.0.20170830-1654
32	ACTIVE      org.eclipse.om2m.persistence.eclipselink_1.0.0.20170830-1654
33	RESOLVED    org.eclipse.om2m.persistence.service_1.0.0.20170830-1654
34	ACTIVE      org.eclipse.om2m.webapp.resourcesbrowser.xml_1.0.0.20170830-1654
35	RESOLVED    org.eclipse.osgi.services_3.4.0.v20140312-2051
